tract_id, community_id
17031842400,44
17031840300,59
17031841100,34
17031841200,31
17031838200,28
17031650301,65
17031530503,53
17031760803,76
17031540102,54
17031540101,54
17031440201,44
17031839000,32
17031030601,77
17031030604,77
17031020801,2
17031843300,29
17031080202,8
17031070102,7
17031031501,3
17031031502,3
17031834900,67
17031834800,68
17031160502,16
17031140702,14
17031842000,35
17031150402,15
17031834400,42
17031040201,4
17031040202,4
17031020702,2
17031020802,2
17031020301,2
17031838700,29
17031841500,29
17031838600,29
17031837300,27
17031837800,28
17031837400,27
17031836900,27
17031020601,2
17031020602,2
17031020302,2
17031020902,2
17031010701,1
17031030103,77
17031030102,77
17031010502,1
17031010503,1
17031010702,1
17031837100,27
17031837000,27
17031010201,1
17031020901,2
17031040401,4
17031210602,21
17031160501,16
17031191302,19
17031190602,19
17031840200,60
17031530501,53
17031831400,25
17031831300,25
17031833000,28
17031760801,76
17031020701,2
17031010501,1
17031252101,25
17031252102,25
17031252202,25
17031220601,22
17031210502,21
17031220602,22
17031220901,22
17031220902,22
17031200401,20
17031200402,20
17031191301,19
17031190601,19
17031190701,19
17031190702,19
17031190401,19
17031190402,19
17031832100,6
17031843800,61
17031842800,58
17031980100,56
17031833300,28
17031832900,28
17031838000,28
17031838100,28
17031833100,28
17031839100,32
17031030706,77
17031150401,15
17031150501,15
17031842900,28
17031841900,28
17031843000,29
17031842100,23
17031080201,8
17031070101,7
17031063301,6
17031063303,6
17031081201,8
17031081202,8
17031040402,4
17031220702,22
17031842200,8
17031842300,24
17031843700,5
17031835000,66
17031835100,63
17031834700,68
17031151001,15
17031151002,15
17031160602,16
17031140601,14
17031140701,14
17031140602,14
17031140301,14
17031841800,69
17031842500,69
17031842600,61
17031843500,30
17031843400,29
17031843200,31
17031140302,14
17031110501,11
17031110502,11
17031760802,76
17031150502,15
17031843100,29
17031834300,45
17031843900,42
17031831200,20
17031831600,18
17031831500,19
17031831100,21
17031831700,15
17031440202,44
17031440102,44
17031430102,43
17031030702,77
17031030603,77
17031030701,77
17031840800,30
17031836300,41
17031838300,8
17031839800,60
17031836600,23
17031730202,73
17031430101,43
17031063302,6
17031836200,41
17031840100,60
17031580502,58
17031841400,29
17031081401,8
17031081403,8
17031030703,77
17031836000,38
17031835800,38
17031835900,38
17031834500,40
17031843600,38
17031834600,68
17031831800,13
17031832600,7
17031061901,6
17031770602,76
17031839700,60
17031839900,60
17031835200,56
17031838800,51
17031833900,46
17031836800,27
17031836700,23
17031832200,22
17031831000,22
17031832400,22
17031770902,76
17031660301,66
17031660302,66
17031252201,25
17031070103,7
17031220701,22
17031834000,49
17031834200,43
17031835500,37
17031839500,35
17031839200,35
17031840400,59
17031841000,33
17031301802,30
17031730201,73
17031580501,58
17031700302,70
17031700402,70
17031700401,70
17031830500,30
17031841700,30
17031841600,29
17031840700,30
17031841300,31
17031301801,30
17031530502,53
17031071400,7
17031071600,7
17031832300,22
17031832500,7
17031832000,6
17031030104,77
17031030101,77
17031160601,16
17031210501,21
17031210601,21
17031700502,70
17031836100,40
17031835700,38
17031836400,36
17031836500,36
17031839600,35
17031840000,60
17031835600,37
17031830800,4
17031460301,46
17031301701,30
17031310400,31
17031530100,53
17031081100,8
17031150700,15
17031640100,64
17031081300,8
17031301702,30
17031700301,70
17031490902,49
17031490901,49
17031650302,65
17031831900,6
17031830900,22
17031830700,3
17031830600,1
17031700501,70
17031460302,46
17031431302,43
17031431301,43
17031440101,44
17031301803,30
17031310200,31
17031310300,31
17031310500,31
17031510300,51
17031491400,49
17031500200,50
17031530200,53
17031740100,74
17031140500,14
17031140800,14
17031150200,15
17031150300,15
17031300900,30
17031301100,30
17031301200,30
17031740400,74
17031640300,64
17031640600,64
17031010400,1
17031020400,2
17031160300,16
17031310700,31
17031071500,7
17031071700,7
17031071800,7
17031670500,67
17031670600,67
17031670700,67
17031670800,67
17031670900,67
17031671100,67
17031671200,67
17031671300,67
17031671400,67
17031671500,67
17031671600,67
17031230500,23
17031230600,23
17031240600,24
17031241000,24
17031191000,19
17031080300,8
17031300800,30
17031650200,65
17031660500,66
17031221400,22
17031161000,16
17031340600,34
17031670100,67
17031240500,24
17031240700,24
17031240800,24
17031240900,24
17031241100,24
17031190300,19
17031190800,19
17031190900,19
17031191100,19
17031191200,19
17031080100,8
17031080400,8
17031081000,8
17031150600,15
17031301600,30
17031821402,53
17031750300,75
17031750100,75
17031740200,74
17031650400,65
17031650500,65
17031660600,66
17031020500,2
17031221100,22
17031221300,22
17031221500,22
17031221600,22
17031160800,16
17031160900,16
17031161100,16
17031161200,16
17031161300,16
17031330200,33
17031420600,42
17031420700,42
17031661000,66
17031823304,75
17031640400,64
17031640500,64
17031640700,64
17031640800,64
17031650100,65
17031010100,1
17031020100,2
17031151200,15
17031310800,31
17031660400,66
17031670400,67
17031340400,34
17031420800,42
17031421200,42
17031661100,66
17031222500,22
17031222800,22
17031230300,23
17031351500,35
17031381500,38
17031190200,19
17031390600,39
17031010300,1
17031010600,1
17031020200,2
17031150800,15
17031151100,15
17031160100,16
17031160200,16
17031160400,16
17031310600,31
17031310900,31
17031320400,32
17031320600,32
17031740300,74
17031660700,66
17031221200,22
17031160700,16
17031222200,22
17031330100,33
17031340300,34
17031340500,34
17031350400,35
17031750500,75
17031750400,75
17031750200,75
17031430200,43
17031660800,66
17031660900,66
17031670200,67
17031670300,67
17031222600,22
17031222700,22
17031222900,22
17031230100,23
17031230200,23
17031230400,23
17031170400,17
17031380700,38
17031381900,38
17031390200,39
17031171000,17
17031180100,18
17031390300,39
17031390500,39
17031390700,39
17031400300,40
17031400400,40
17031400500,40
17031400800,40
17031410100,41
17031440300,44
17031440700,44
17031671800,67
17031680500,68
17031681100,68
17031200100,20
17031410200,41
17031170600,17
17031380500,38
17031381700,38
17031430300,43
17031430700,43
17031430800,43
17031430900,43
17031431200,43
17031431400,43
17031230800,23
17031231100,23
17031170900,17
17031210100,21
17031420200,42
17031420300,42
17031440600,44
17031440800,44
17031440900,44
17031450300,45
17031671900,67
17031672000,67
17031680600,68
17031680900,68
17031681000,68
17031240200,24
17031240300,24
17031200200,20
17031410500,41
17031410600,41
17031170100,17
17031170200,17
17031170300,17
17031170500,17
17031351400,35
17031381200,38
17031381400,38
17031381800,38
17031390100,39
17031430400,43
17031430500,43
17031430600,43
17031230700,23
17031230900,23
17031231200,23
17031170700,17
17031170800,17
17031171100,17
17031190100,19
17031390400,39
17031242200,24
17031200300,20
17031210400,21
17031210700,21
17031210800,21
17031210900,21
17031220300,22
17031420100,42
17031420400,42
17031420500,42
17031470100,47
17031480100,48
17031691000,69
17031691300,69
17031242300,24
17031411100,41
17031460400,46
17031681200,68
17031690500,69
17031241400,24
17031241500,24
17031241600,24
17031242000,24
17031243300,24
17031491200,49
17031710800,71
17031711300,71
17031010202,1
17031480200,48
17031480300,48
17031480400,48
17031480500,48
17031691100,69
17031691200,69
17031691400,69
17031691500,69
17031700100,70
17031410700,41
17031410800,41
17031410900,41
17031411000,41
17031411200,41
17031530600,53
17031460100,46
17031460200,46
17031460500,46
17031460600,46
17031460700,46
17031461000,46
17031681300,68
17031681400,68
17031690300,69
17031690400,69
17031690900,69
17031241200,24
17031241300,24
17031242100,24
17031243100,24
17031243200,24
17031243400,24
17031243500,24
17031250200,25
17031491000,49
17031491100,49
17031510100,51
17031510200,51
17031520200,52
17031710900,71
17031711000,71
17031711100,71
17031711200,71
17031711400,71
17031081402,8
17031061902,6
17031030200,77
17031030300,77
17031030400,77
17031030500,77
17031030800,77
17031242400,24
17031242500,24
17031242600,24
17031242700,24
17031242800,24
17031242900,24
17031243000,24
17031220400,22
17031220500,22
17031221000,22
17031810400,10
17031520500,52
17031720500,72
17031490300,49
17031490400,49
17031710100,71
17031710300,71
17031710600,71
17031031800,3
17031350100,35
17031351100,35
17031251200,25
17031570100,57
17031030900,77
17031250600,25
17031560100,56
17031490500,49
17031490600,49
17031490700,49
17031490800,49
17031700200,70
17031710200,71
17031710400,71
17031710500,71
17031710700,71
17031031900,3
17031032100,3
17031251000,25
17031280400,28
17031320100,32
17031351000,35
17031360200,36
17031380100,38
17031231500,23
17031251100,25
17031550200,55
17031560800,56
17031560900,56
17031561000,56
17031561100,56
17031570200,57
17031730400,73
17031730500,73
17031730600,73
17031730700,73
17031250300,25
17031250400,25
17031250500,25
17031250700,25
17031250800,25
17031500300,50
17031520300,52
17031520600,52
17031560200,56
17031560300,56
17031560400,56
17031560700,56
17031711500,71
17031720600,72
17031031000,3
17031031700,3
17031580300,58
17031050500,5
17031050800,5
17031051000,5
17031051400,5
17031081900,8
17031252000,25
17031260300,26
17031040300,4
17031040800,4
17031050100,5
17031050200,5
17031050300,5
17031380200,38
17031081500,8
17031720100,72
17031720200,72
17031720300,72
17031720700,72
17031730100,73
17031730300,73
17031031100,3
17031031200,3
17031031300,3
17031031400,3
17031570500,57
17031580100,58
17031580200,58
17031580400,58
17031580600,58
17031530300,53
17031500100,50
17031050600,5
17031050700,5
17031050900,5
17031051100,5
17031051200,5
17031051300,5
17031060100,6
17031060200,6
17031081800,8
17031090100,9
17031090200,9
17031090300,9
17031100100,10
17031100200,10
17031260100,26
17031260200,26
17031491300,49
17031720400,72
17031530400,53
17031750600,75
17031040100,4
17031040600,4
17031040700,4
17031040900,4
17031980000,76
17031081600,8
17031081700,8
17031251300,25
17031251400,25
17031251500,25
17031251900,25
17031260700,26
17031600900,60
17031611200,61
17031062400,6
17031062800,6
17031062900,6
17031063000,6
17031063100,6
17031063200,6
17031063400,6
17031271500,27
17031611600,61
17031580800,58
17031600400,60
17031060300,6
17031060800,6
17031061100,6
17031061800,6
17031110200,11
17031251600,25
17031251700,25
17031251800,25
17031570300,57
17031570400,57
17031100600,10
17031100700,10
17031110100,11
17031260900,26
17031261000,26
17031270500,27
17031520100,52
17031610300,61
17031610800,61
17031611000,61
17031611400,61
17031062200,6
17031062600,6
17031062700,6
17031120300,12
17031271800,27
17031520400,52
17031260500,26
17031260600,26
17031580700,58
17031590500,59
17031590600,59
17031590700,59
17031600600,60
17031600700,60
17031060400,6
17031060500,6
17031060900,6
17031061000,6
17031061200,6
17031061500,6
17031062000,6
17031062100,6
17031260400,26
17031100300,10
17031100400,10
17031100500,10
17031260800,26
17031271200,27
17031610400,61
17031611100,61
17031611300,61
17031062300,6
17031062500,6
17031070700,7
17031071100,7
17031071300,7
17031120400,12
17031130100,13
17031130200,13
17031140100,14
17031140200,14
17031140400,14
17031292400,29
17031292500,29
17031300600,30
17031300700,30
17031282700,28
17031282800,28
17031283100,28
17031283200,28
17031283800,28
17031290900,29
17031291600,29
17031630200,63
17031630800,63
17031271300,27
17031280900,28
17031611700,61
17031612100,61
17031070300,7
17031070600,7
17031300500,30
17031291200,29
17031620300,62
17031620400,62
17031630100,63
17031630300,63
17031630400,63
17031630500,63
17031110300,11
17031110400,11
17031120100,12
17031120200,12
17031271400,27
17031280100,28
17031280800,28
17031281900,28
17031550100,55
17031611500,61
17031611800,61
17031611900,61
17031612000,61
17031620100,62
17031620200,62
17031070200,7
17031070400,7
17031070500,7
17031071000,7
17031071200,7
17031130300,13
17031292200,29
17031630900,63
